word,portion
ong,1.97
ang,1.58
ung,1.44
ion,1.18
han,1.05
cho,1.05
anh,0.92
gio,0.92
hun,0.85
guo,0.79
mot,0.79
tha,0.72
gia,0.72
cha,0.66
inh,0.53
hie,0.53
hon,0.53
uon,0.53
ngn,0.53
con,0.53
ngu,0.53
uoi,0.46
kho,0.46
gtr,0.46
ngl,0.46
the,0.46
ngt,0.46
vua,0.46
chu,0.46
oit,0.46
ngd,0.46
doi,0.39
gvu,0.39
thu,0.39
dat,0.39
nhu,0.39
nhg,0.39
yen,0.39
uye,0.39
uoc,0.39
roi,0.39
hgi,0.39
uan,0.39
gda,0.39
ich,0.39
nha,0.39
uat,0.39
sat,0.39
lai,0.39
ayn,0.39
uac,0.33
iet,0.33
noi,0.33
sug,0.33
iac,0.33
moi,0.33
enl,0.33
den,0.33
dan,0.33
tng,0.33
tru,0.33
ngm,0.33
gnh,0.33
gua,0.33
can,0.33
anv,0.33
gch,0.33
uad,0.33
ila,0.33
ogi,0.33
qua,0.33
sau,0.26
com,0.26
ida,0.26
bad,0.26
vet,0.26
hai,0.26
ont,0.26
ten,0.26
ngb,0.26
ngk,0.26
thi,0.26
ygi,0.26
len,0.26
ngc,0.26
tuo,0.26
tch,0.26
cam,0.26
nhi,0.26
onc,0.26
anc,0.26
nco,0.26
nuo,0.26
ann,0.26
gbi,0.26
goi,0.26
itr,0.26
nth,0.26
ruy,0.26
ien,0.26
glo,0.26
bao,0.26
oid,0.26
hay,0.26
may,0.26
onn,0.26
non,0.26
nng,0.26
vao,0.2
enh,0.2
cot,0.2
hin,0.2
ghe,0.2
tun,0.2
nno,0.2
nhn,0.2
anb,0.2
gth,0.2
uda,0.2
oba,0.2
tro,0.2
oth,0.2
oiv,0.2
uah,0.2
gmo,0.2
ois,0.2
day,0.2
amn,0.2
cua,0.2
ban,0.2
aim,0.2
nay,0.2
uom,0.2
gay,0.2
nhd,0.2
ank,0.2
etn,0.2
tth,0.2
bay,0.2
did,0.2
end,0.2
ado,0.2
lan,0.2
beg,0.2
gng,0.2
ita,0.2
enb,0.2
uam,0.2
ent,0.2
oco,0.2
cun,0.2
onh,0.2
ima,0.2
nda,0.2
ren,0.2
otc,0.2
lal,0.2
ngo,0.2
ach,0.2
nan,0.2
pha,0.2
cac,0.2
duo,0.2
iec,0.2
ant,0.2
ail,0.2
igi,0.2
ett,0.2
ngv,0.2
ntr,0.2
ngq,0.2
nba,0.13
nra,0.13
tto,0.13
lon,0.13
rai,0.13
lag,0.13
gle,0.13
van,0.13
iad,0.13
ito,0.13
aon,0.13
atr,0.13
and,0.13
dun,0.13
iam,0.13
ngi,0.13
acg,0.13
utb,0.13
oqu,0.13
omo,0.13
hut,0.13
emo,0.13
ymo,0.13
ayl,0.13
etc,0.13
oib,0.13
yet,0.13
tic,0.13
hth,0.13
bon,0.13
khi,0.13
dua,0.13
mth,0.13
uva,0.13
oda,0.13
uch,0.13
ava,0.13
tra,0.13
bam,0.13
eda,0.13
bie,0.13
tla,0.13
oih,0.13
enc,0.13
oti,0.13
cht,0.13
cog,0.13
nca,0.13
ula,0.13
tph,0.13
agi,0.13
hen,0.13
gno,0.13
gla,0.13
ais,0.13
ugi,0.13
cti,0.13
tho,0.13
het,0.13
hav,0.13
meg,0.13
ngr,0.13
ech,0.13
amd,0.13
cgi,0.13
eng,0.13
ych,0.13
mev,0.13
voi,0.13
xom,0.13
oin,0.13
lam,0.13
ikh,0.13
buo,0.13
oir,0.13
rel,0.13
iho,0.13
cno,0.13
nhm,0.13
tva,0.13
ain,0.13
lat,0.13
agu,0.13
oma,0.13
apv,0.13
ano,0.13
nnh,0.13
gkh,0.13
huc,0.13
gan,0.13
ans,0.13
uas,0.13
dau,0.13
ama,0.13
heg,0.13
hat,0.13
ina,0.13
oia,0.13
hem,0.13
uth,0.13
cda,0.13
gao,0.13
hoa,0.13
hit,0.13
huy,0.13
gsa,0.13
udo,0.13
aot,0.13
vai,0.13
ala,0.13
lua,0.13
toi,0.13
nvu,0.13
ayc,0.13
nga,0.13
cqu,0.13
nsa,0.13
onv,0.13
ngs,0.13
gra,0.13
luo,0.13
och,0.13
ayk,0.13
nhc,0.13
ynh,0.13
